body_type,sex,diet,how_often_shower,heating_energy_source,transport,vehicle_type,social_activity,monthly_grocery_bill,frequency_of_traveling_by_air,vehicle_monthly_distance_km,waste_bag_size,waste_bag_weekly_count,how_long_tv_pc_daily_hour,how_many_new_clothes_monthly,how_long_internet_daily_hour,energy_efficiency,transport_distance_interaction,energy_efficiency_heating,carbonemission
1,1,1,3,1,2,4,0,140,3,85,2,3,3,30,14,0,170,0,3069
3,1,0,2,0,2,4,1,239,3,89,2,1,19,17,20,1,178,0,2696
1,0,3,2,3,0,2,1,258,2,7715,1,2,7,46,22,0,0,0,3432
0,0,0,3,2,2,4,1,108,1,59,1,2,1,4,6,1,118,2,763
2,0,1,0,2,2,4,0,291,2,51,3,5,24,42,22,0,102,0,1531
1,0,0,3,2,0,5,1,188,2,2553,0,3,4,29,9,2,0,4,3050
0,1,1,2,0,2,4,2,142,1,65,2,3,10,43,22,0,130,0,1988
3,0,1,2,3,1,4,0,69,3,274,3,4,11,30,10,1,274,3,1852
0,0,1,3,3,2,4,0,209,3,50,0,2,3,39,5,0,100,0,2296
2,0,2,3,1,1,4,2,58,0,219,2,7,14,18,2,0,219,0,1757
1,0,1,3,1,0,2,2,231,0,6510,2,6,23,19,1,2,0,2,2744
2,1,1,3,0,2,4,2,216,2,18,1,2,17,34,4,0,36,0,1985
0,1,3,3,1,1,4,1,163,1,1118,2,4,12,33,24,0,1118,0,1275
3,0,0,2,0,1,4,0,147,2,1095,0,1,18,42,10,1,1095,0,1586
0,1,0,0,3,2,4,0,217,2,23,3,4,24,48,8,2,46,6,1681
1,1,2,1,3,2,4,0,238,0,83,3,4,21,33,15,1,166,3,2230
1,1,1,2,2,2,4,0,251,0,20,0,7,7,21,8,0,40,0,3099
3,1,1,2,1,0,2,1,60,1,7285,0,1,14,7,0,1,0,1,1757
1,0,1,0,0,1,4,0,175,2,405,2,4,7,27,10,2,405,0,1532
3,1,1,0,1,0,5,2,266,0,6743,1,1,20,23,18,0,0,0,4416
2,1,2,2,3,2,4,1,114,2,8,1,6,19,13,9,1,16,3,1701
1,1,1,0,2,2,4,1,132,3,41,2,7,16,47,23,1,82,2,4194
3,1,1,2,2,1,4,0,106,0,1059,3,3,12,26,6,0,1059,0,1634
0,0,1,2,2,2,4,1,108,2,49,1,2,23,23,6,0,98,0,1329
2,1,3,3,2,2,4,0,145,3,26,3,7,3,24,6,1,52,2,2901
3,1,1,2,0,1,4,1,84,0,1345,3,2,1,49,18,1,1345,0,2536
2,1,3,0,3,2,4,0,171,3,93,1,4,24,23,23,0,186,0,3100
3,0,0,2,2,2,4,1,68,3,0,3,3,5,44,11,2,0,4,2180
3,1,0,1,2,2,4,1,275,1,63,3,6,21,30,22,0,126,0,1629
1,1,2,2,2,2,4,2,217,1,44,1,2,8,32,10,2,88,4,1493
3,0,1,0,3,0,5,1,139,2,1025,0,1,12,14,20,2,0,6,1543
3,0,3,2,1,1,4,0,141,0,265,3,1,22,47,11,2,265,2,1389
1,1,0,3,3,2,4,0,146,2,59,0,7,22,1,1,0,118,0,2118
1,0,3,3,2,2,4,2,221,0,60,2,6,16,26,23,1,120,2,2288
2,0,1,0,2,1,4,1,198,0,1906,1,5,2,15,7,2,1906,4,2167
0,0,0,3,3,0,1,2,296,0,6798,0,5,4,13,6,1,0,3,2055
2,1,2,3,2,1,4,0,110,3,996,0,3,18,18,10,0,996,0,2618
1,0,1,3,1,0,0,1,204,3,3002,3,1,10,36,21,0,0,0,3468
3,1,0,1,2,2,4,1,108,1,34,3,2,11,40,13,0,68,0,1515
2,1,3,0,0,1,4,1,285,0,29,2,4,19,18,8,0,29,0,2747
3,1,1,0,1,1,4,1,98,1,525,0,4,0,13,12,0,525,0,1261
0,1,1,0,0,0,0,1,122,1,1298,1,6,19,47,21,2,0,0,2690
3,1,1,1,3,0,5,0,282,2,8881,3,7,0,4,14,2,0,6,4323
2,1,1,1,1,1,4,1,78,3,567,1,7,16,9,0,2,567,2,2978
0,0,0,3,3,1,4,0,74,0,673,1,1,6,19,3,0,673,0,1463
1,1,2,1,0,2,4,0,176,1,9,0,6,9,21,16,1,18,0,2181
1,0,0,1,3,1,4,0,228,2,970,3,1,20,48,12,0,970,0,1951
1,0,0,0,2,1,4,0,143,3,541,3,6,13,35,20,0,541,0,3080
0,1,1,1,0,0,2,0,86,3,49,3,4,8,6,24,0,0,0,2363
2,0,2,3,2,2,4,1,117,1,51,1,4,17,41,10,2,102,4,1408
3,0,2,1,1,2,4,1,165,0,80,3,4,14,39,3,0,160,0,1550
1,0,1,1,1,0,5,1,223,1,8741,3,1,22,32,23,2,0,2,4562
2,1,0,1,2,1,4,2,57,3,1863,0,7,19,4,16,1,1863,2,3415
2,1,1,2,0,2,4,1,172,3,99,3,3,3,24,15,0,198,0,3114
0,0,1,0,0,2,4,2,292,3,23,3,7,0,47,13,2,46,0,2668
2,1,0,3,2,1,4,1,298,1,159,0,1,3,7,17,2,159,4,1242
3,1,3,1,2,1,4,2,134,3,287,1,4,24,28,5,2,287,4,2358
3,1,1,2,0,1,4,0,244,3,1539,2,6,4,50,12,0,1539,0,3401
3,0,1,1,2,0,0,1,122,3,9828,2,7,18,33,7,0,0,0,4490
0,0,2,2,1,0,1,1,153,3,3457,1,1,13,15,16,2,0,2,1859
3,0,0,0,1,1,4,2,236,2,1792,2,2,8,28,24,0,1792,0,1057
0,1,1,0,2,0,5,1,202,2,7934,1,3,20,37,0,0,0,0,4631
3,0,1,2,2,1,4,1,79,1,1312,2,2,22,15,12,2,1312,4,1065
3,1,3,1,1,2,4,2,228,2,33,3,1,0,35,10,0,66,0,1094
3,0,2,3,3,0,0,0,212,2,9242,2,7,0,33,7,2,0,6,3085
3,0,2,3,1,2,4,2,239,3,75,0,6,24,46,0,1,150,1,2542
3,0,2,3,3,0,0,0,166,1,9704,0,4,13,36,3,2,0,6,2969
2,1,3,2,0,1,4,0,161,1,1204,3,1,1,11,6,0,1204,0,1320
3,0,0,0,0,2,4,1,225,2,37,0,5,5,50,11,1,74,0,2155
1,0,0,1,2,0,0,2,253,1,7988,2,2,21,41,22,0,0,0,3641
2,1,1,1,2,1,4,2,295,3,882,2,4,16,30,20,0,882,0,3199
2,1,3,3,2,0,3,2,107,2,3194,3,6,17,45,10,1,0,2,2796
0,1,0,3,1,2,4,0,256,3,79,3,3,11,43,19,0,158,0,2654
1,0,3,3,1,1,4,2,203,1,675,2,2,15,43,23,2,675,2,1236
0,1,3,1,2,2,4,2,84,3,85,3,3,19,23,9,1,170,2,2233
1,1,3,1,3,1,4,0,179,2,648,0,5,21,44,18,1,648,3,2708
3,0,3,3,2,1,4,0,57,1,718,1,7,0,5,9,0,718,0,1184
1,0,2,0,1,1,4,0,154,1,393,2,5,18,42,1,2,393,2,1099
0,1,3,2,1,1,4,0,276,2,270,3,5,10,37,20,1,270,1,1526
2,0,1,0,1,1,4,2,250,2,1638,0,7,21,10,2,2,1638,2,1870
1,0,0,0,2,2,4,0,184,1,35,1,6,1,28,13,2,70,4,1833
0,1,2,3,0,1,4,1,179,3,1423,0,4,12,46,15,1,1423,0,3516
3,1,3,2,3,1,4,0,66,3,435,3,7,15,31,12,2,435,6,2333
1,1,0,1,3,2,4,1,50,2,25,0,5,16,50,4,2,50,6,2718
1,1,3,0,1,1,4,2,130,2,1950,2,3,23,43,13,0,1950,0,1916
3,1,3,0,0,0,3,0,213,2,3654,3,5,4,50,12,1,0,0,2637
2,1,1,0,1,2,4,2,233,2,74,2,3,0,11,24,0,148,0,1126
2,0,1,3,1,2,4,2,297,2,72,3,1,3,26,6,1,144,1,1066
2,1,3,2,1,2,4,2,79,0,57,0,3,21,4,12,0,114,0,1855
3,1,1,2,0,0,3,2,139,0,370,1,1,19,41,16,0,0,0,2258
2,0,0,3,0,2,4,0,178,1,70,0,2,10,26,4,0,140,0,1385
0,1,0,1,3,0,3,0,293,1,8001,2,2,13,2,11,0,0,0,3201
0,0,3,0,2,2,4,2,64,3,22,1,7,4,49,13,2,44,4,2771
0,0,1,3,2,1,4,2,242,1,520,1,3,24,26,1,0,520,0,1331
3,1,0,3,0,0,1,0,170,0,8876,2,7,16,37,14,2,0,0,2608
0,1,2,1,0,2,4,2,155,1,44,1,4,22,24,10,1,88,0,1414
0,0,3,2,2,1,4,0,255,0,402,0,7,3,25,22,1,402,2,2339
2,1,0,3,1,1,4,2,147,3,1679,0,1,5,29,12,1,1679,1,2783
1,0,1,0,2,0,0,2,160,1,7440,1,7,24,41,13,0,0,0,4039
3,1,3,0,3,0,3,0,85,3,678,0,7,20,41,0,2,0,6,3036
3,1,2,2,1,1,4,1,188,2,1319,3,7,9,30,2,0,1319,0,1645
1,0,1,1,1,2,4,1,90,0,15,0,4,9,2,19,1,30,1,1553
0,1,1,3,0,2,4,2,259,0,6,0,6,7,18,17,1,12,0,2789
0,0,2,2,3,2,4,2,69,1,35,3,1,7,21,19,0,70,0,1023
3,0,3,2,1,0,5,1,210,3,6683,2,1,6,1,20,2,0,2,3624
1,1,3,2,3,2,4,0,147,3,36,2,5,18,8,11,2,72,6,2561
1,0,1,1,3,0,3,2,79,1,4195,3,3,24,50,7,2,0,6,2855
1,1,1,3,1,2,4,2,226,3,21,2,4,6,9,17,1,42,1,2267
0,0,3,0,1,1,4,2,255,1,1798,0,3,23,13,15,2,1798,2,994
1,0,2,3,3,0,3,0,59,0,4562,1,7,8,50,2,1,0,3,3571
1,0,0,3,0,1,4,0,178,2,1006,0,1,14,10,18,2,1006,0,1789
1,1,2,3,0,2,4,0,119,0,77,3,5,8,13,22,1,154,0,2170
1,0,2,0,3,0,2,1,282,2,4428,1,6,11,44,1,0,0,0,2751
0,0,2,2,2,1,4,2,91,2,1630,1,5,13,4,9,0,1630,0,1470
2,0,0,3,1,0,2,2,202,0,9282,2,7,11,27,8,0,0,0,3199
1,1,1,3,1,0,3,0,183,1,7025,2,2,0,49,2,2,0,2,3443
1,0,1,1,0,2,4,0,299,3,1,2,7,3,43,3,1,2,0,3238
3,1,2,3,0,0,2,2,88,2,5321,2,4,16,41,24,0,0,0,2598
1,0,3,1,0,0,1,1,89,1,7423,0,2,7,12,11,1,0,0,1479
3,1,2,3,3,2,4,0,273,2,55,3,3,12,20,4,1,110,3,977
0,1,2,3,1,1,4,0,104,0,87,3,3,12,31,13,1,87,1,1589
0,0,3,3,0,0,1,1,176,2,4373,2,2,11,14,1,0,0,0,1184
0,0,0,2,2,0,2,2,256,1,7576,1,7,10,9,9,1,0,2,2514
2,0,0,2,0,2,4,1,122,2,5,1,7,18,19,18,0,10,0,2056
2,1,1,3,2,2,4,2,211,3,76,3,7,17,5,2,1,152,2,2546
3,1,3,2,3,0,0,0,260,2,2468,3,7,18,43,24,0,0,0,2334
3,1,0,1,0,0,3,0,187,0,8542,1,1,18,7,19,0,0,0,4131
2,0,2,2,2,2,4,2,259,0,53,1,1,22,40,14,0,106,0,1857
2,0,1,1,1,0,1,1,209,2,9970,0,6,2,48,23,1,0,1,2127
0,0,2,3,2,1,4,2,126,0,118,2,2,15,44,7,1,118,2,1738
0,0,0,1,2,0,3,0,152,1,6040,3,3,7,49,22,2,0,4,2779
1,1,3,1,0,1,4,0,168,3,1202,0,4,24,47,20,2,1202,0,4219
2,1,0,0,2,0,3,1,142,0,1943,1,7,9,14,0,2,0,4,2966
1,1,2,3,1,2,4,0,95,1,95,3,6,1,42,9,1,190,1,1417
2,1,3,3,3,2,4,1,111,3,70,2,7,23,40,9,1,140,3,3444
0,1,3,0,3,2,4,0,61,0,63,2,4,13,11,23,0,126,0,1641
3,0,1,2,0,0,5,0,183,3,2132,2,5,8,37,9,2,0,0,2886
1,1,0,2,3,2,4,1,152,1,91,2,7,2,50,4,1,182,3,2537
0,0,2,2,1,0,5,0,117,2,185,2,2,9,5,20,2,0,2,572
1,1,0,0,1,0,5,2,163,0,3674,0,4,15,44,17,2,0,2,4285
3,0,2,3,0,0,1,2,181,2,7643,1,5,12,46,12,0,0,0,1837
1,1,3,2,0,2,4,0,236,3,7,3,4,12,48,11,1,14,0,3280
3,0,2,0,0,0,3,0,109,3,3237,3,3,6,46,14,1,0,0,2721
1,0,0,2,2,1,4,1,211,0,1254,0,6,17,46,1,0,1254,0,3095
2,1,1,1,3,2,4,0,72,3,98,2,2,0,23,19,2,196,6,2537
3,1,0,0,3,0,3,1,264,0,8451,1,7,21,36,20,1,0,3,5247
0,0,0,2,1,2,4,2,75,3,84,1,3,19,50,11,1,168,1,2601
0,1,0,1,3,1,4,1,157,0,1396,3,5,4,13,10,0,1396,0,1895
2,1,1,1,2,1,4,1,165,0,1703,1,2,5,18,20,2,1703,4,2189
1,1,1,0,1,0,2,0,242,2,1439,2,1,14,2,8,2,0,2,1089
0,0,3,0,1,2,4,2,53,1,30,1,2,22,49,15,1,60,1,1109
2,0,1,2,0,1,4,0,164,1,378,0,3,18,8,22,0,378,0,1328
2,1,2,3,0,2,4,1,171,2,92,1,3,19,45,10,1,184,0,2298
0,0,2,3,2,1,4,0,205,2,1007,1,7,11,47,14,0,1007,0,1986
0,0,1,2,0,2,4,1,284,1,63,2,4,7,28,0,1,126,0,1381
2,0,3,1,0,2,4,2,233,1,60,1,7,22,22,24,1,120,0,1764
1,0,2,3,1,0,3,2,65,3,5498,0,7,8,18,13,0,0,0,4658
1,0,0,3,2,0,3,1,67,1,8858,2,6,11,10,10,1,0,2,3875
2,0,1,2,3,1,4,2,54,1,879,1,3,11,46,19,1,879,3,1536
3,1,1,3,2,0,2,2,143,1,8590,0,5,7,36,18,1,0,2,3191
1,0,2,1,0,0,2,0,273,3,911,2,3,12,38,14,1,0,0,3129
0,1,2,3,0,2,4,2,247,2,35,1,6,11,37,16,1,70,0,2294
0,0,2,3,2,1,4,0,125,3,1096,1,5,3,13,5,1,1096,2,2273
1,0,3,2,1,2,4,2,197,0,43,2,2,21,5,5,0,86,0,1266
1,0,0,2,3,1,4,1,159,0,1491,1,3,24,45,14,0,1491,0,2578
2,1,2,2,0,2,4,1,93,2,7,3,2,3,14,13,2,14,0,1513
2,1,1,3,1,0,2,2,132,1,5132,3,7,21,46,16,1,0,1,2445
2,1,3,2,3,2,4,2,233,0,94,3,2,17,10,1,0,188,0,1771
2,0,2,0,0,1,4,1,159,1,30,3,1,10,32,18,1,30,0,1335
3,0,2,3,1,2,4,0,204,2,56,3,7,2,12,15,2,112,2,808
2,0,1,3,2,0,3,0,252,3,9734,0,7,11,0,18,2,0,4,5444
1,1,0,3,0,0,1,0,245,2,1092,1,6,16,12,7,2,0,0,2052
0,1,1,2,0,0,5,2,160,0,9363,1,4,11,10,24,1,0,0,5425
2,1,3,0,1,2,4,0,220,1,27,3,5,2,35,6,1,54,1,1100
3,0,1,1,3,2,4,1,187,3,24,0,3,18,1,14,2,48,6,2053
3,0,0,0,2,0,1,0,176,3,4407,0,7,18,29,13,2,0,4,2922
1,0,0,3,0,1,4,2,292,1,1468,1,3,18,45,2,2,1468,0,2160
1,1,0,3,2,0,0,2,234,3,5098,1,5,7,8,21,0,0,0,4963
3,1,0,2,1,0,3,1,61,2,4055,1,1,18,32,10,1,0,1,2207
2,0,0,2,1,0,5,0,71,2,352,2,5,1,13,4,1,0,1,1073
1,0,3,3,3,0,1,1,212,2,4273,2,6,21,41,12,1,0,3,2177
0,1,1,1,1,2,4,2,56,0,7,3,4,15,24,7,2,14,2,1613
0,0,1,1,1,0,3,1,169,0,1769,0,7,18,34,0,2,0,2,2519
1,0,3,1,0,2,4,1,123,2,43,1,4,23,10,4,0,86,0,1786
0,0,0,3,2,0,3,1,142,2,6372,2,7,12,44,4,2,0,4,3529
0,0,2,2,3,1,4,1,126,1,1251,2,6,24,29,4,0,1251,0,1311
3,0,0,2,3,0,0,0,138,2,6063,2,7,9,42,11,2,0,6,2819
3,0,3,3,0,0,2,2,138,0,8744,2,7,6,46,24,1,0,0,3404
1,1,0,2,1,0,3,1,260,1,1574,3,5,19,4,0,1,0,1,1721
0,0,1,1,0,1,4,0,156,3,1672,1,3,13,15,4,0,1672,0,2188
0,0,0,0,0,2,4,2,291,1,98,1,2,10,30,16,2,196,0,1802
0,1,2,2,1,0,0,0,165,0,7287,2,6,19,29,11,0,0,0,3613
3,0,2,3,3,2,4,1,190,0,29,0,7,0,38,21,0,58,0,2186
2,0,2,2,3,0,2,0,56,3,508,1,6,20,43,8,2,0,6,2676
3,0,1,0,0,0,1,1,75,2,1995,0,3,12,0,22,1,0,0,1183
2,1,2,1,3,0,3,2,173,3,1800,1,3,2,42,18,0,0,0,3579
3,0,1,2,1,2,4,1,85,0,98,1,7,19,23,7,0,196,0,1915
1,0,1,2,0,2,4,0,55,0,22,0,4,7,29,0,2,44,0,2370
1,0,0,3,3,0,5,2,238,3,3913,0,6,19,30,10,1,0,3,5238
3,0,2,2,3,2,4,1,184,1,44,2,1,4,14,16,0,88,0,1022
3,0,1,1,2,1,4,1,243,1,1598,3,1,2,15,17,0,1598,0,1074
2,0,0,1,0,0,5,1,104,0,5677,3,2,8,34,19,0,0,0,4385
1,0,2,3,2,2,4,2,267,1,83,2,7,21,38,19,0,166,0,1618
1,1,1,1,0,0,1,2,121,1,667,2,4,11,8,11,0,0,0,1499
3,0,1,0,3,0,0,2,286,3,7330,1,5,0,18,9,2,0,6,3780
2,1,1,3,3,2,4,1,184,2,0,3,2,0,49,5,0,0,0,1873
1,1,1,2,3,2,4,2,262,0,66,3,7,22,17,17,2,132,6,2272
0,1,3,2,2,2,4,2,86,1,27,0,3,24,50,11,2,54,4,1599
2,0,1,0,0,1,4,0,227,0,1981,1,1,23,49,6,1,1981,0,2310
2,1,3,1,3,0,0,2,60,2,5743,3,3,3,37,18,1,0,3,2817
1,1,2,1,1,1,4,1,267,0,1338,0,3,16,18,9,1,1338,1,2091
2,0,1,0,0,2,4,0,139,0,90,1,2,19,25,4,0,180,0,2143
1,1,1,3,2,1,4,0,181,3,1182,3,5,22,39,21,0,1182,0,3689
0,0,2,2,3,1,4,0,279,3,347,1,3,24,2,15,2,347,6,2133
3,0,0,0,3,1,4,2,122,2,1286,3,4,4,38,15,0,1286,0,1458
1,1,0,3,1,0,0,1,281,1,2948,3,4,11,8,1,1,0,1,1903
1,1,0,0,3,2,4,0,200,1,53,3,7,24,44,1,2,106,6,1594
2,1,1,0,3,0,2,2,60,1,2677,3,2,6,20,23,1,0,3,1594
2,1,3,0,1,1,4,1,244,0,626,3,6,20,6,22,0,626,0,1755
2,0,1,3,0,1,4,0,102,3,726,0,7,17,45,1,2,726,0,3399
2,0,3,1,3,1,4,0,197,0,48,0,3,4,16,0,2,48,6,1567
3,1,1,3,3,0,2,1,117,2,6711,1,3,11,6,12,1,0,3,2344
2,1,2,0,0,2,4,2,71,3,46,1,6,12,11,3,2,92,0,2790
2,0,3,2,3,2,4,1,91,0,88,3,5,4,49,20,2,176,6,2067
1,0,0,1,0,2,4,2,180,2,85,1,4,19,27,0,0,170,0,2118
3,1,0,2,0,2,4,1,278,0,82,1,5,3,39,12,0,164,0,2791
3,1,2,1,0,1,4,0,262,0,1972,0,7,12,42,11,1,1972,0,2798
2,1,0,3,3,1,4,2,69,3,1080,2,3,3,35,4,2,1080,6,2861
1,0,3,2,0,0,3,2,69,3,9670,2,2,17,48,14,2,0,0,5411
2,1,0,0,1,2,4,0,120,3,32,1,2,13,16,8,1,64,1,2310
0,1,2,3,3,2,4,1,105,3,99,3,1,20,17,2,1,198,3,2349
1,0,3,1,2,2,4,0,284,1,85,0,5,8,12,10,2,170,4,1302
2,1,2,3,1,0,2,2,243,3,9996,3,1,23,4,1,2,0,2,3538
3,0,2,1,1,0,1,0,118,2,6992,1,1,18,45,9,1,0,1,752
2,1,1,3,2,2,4,1,289,0,72,0,2,8,6,17,2,144,4,2160
0,0,1,0,3,0,0,0,139,0,4202,0,2,11,48,1,2,0,6,2799
2,1,2,3,2,0,3,0,280,1,5546,0,7,12,24,14,1,0,2,3804
2,0,1,3,1,1,4,1,259,0,1277,1,4,24,21,21,2,1277,2,2214
0,1,3,1,3,2,4,2,206,1,65,1,7,6,47,3,0,130,0,2166
1,1,1,0,2,2,4,0,51,0,93,3,3,5,26,0,0,186,0,1966
1,1,1,0,2,1,4,2,238,1,263,1,2,10,24,24,0,263,0,1524
2,0,0,3,1,0,0,2,174,1,8347,1,4,24,0,7,0,0,0,2789
0,0,3,2,0,1,4,0,173,3,1376,0,3,6,9,19,0,1376,0,2499
1,1,0,3,0,2,4,1,224,1,0,1,1,15,30,9,0,0,0,1687
0,0,0,0,2,1,4,0,55,1,870,0,4,7,17,3,0,870,0,1450
3,0,0,3,2,0,2,1,152,2,8216,1,7,23,27,2,1,0,2,2534
0,0,2,3,1,0,5,1,70,3,3627,2,6,21,3,2,0,0,0,2930
3,1,1,1,2,2,4,1,142,1,86,2,6,14,24,6,0,172,0,1194
2,1,3,2,1,1,4,2,295,0,376,0,5,20,16,21,0,376,0,2354
1,0,0,2,1,1,4,0,223,3,820,2,7,0,19,21,2,820,2,2852
0,1,0,1,0,0,2,0,235,2,4411,0,7,21,10,8,0,0,0,2992
1,1,2,2,3,2,4,2,61,0,68,3,1,24,7,8,1,136,3,1472
3,0,2,1,1,1,4,0,276,2,1777,3,3,9,40,4,0,1777,0,1043
1,1,0,0,3,1,4,1,127,3,1300,3,3,9,41,0,1,1300,3,3671
2,1,3,1,2,0,0,1,122,1,5513,1,3,8,34,13,2,0,4,2774
1,0,2,1,0,1,4,0,233,2,644,0,1,6,25,6,0,644,0,1587
1,1,1,3,0,2,4,2,118,1,94,0,6,12,17,6,2,188,0,2467
0,0,3,3,3,0,5,1,157,2,6804,0,6,18,21,23,1,0,3,4231
3,1,3,1,0,2,4,1,110,2,54,0,4,22,27,3,1,108,0,1922
3,0,1,2,2,2,4,1,296,2,49,3,3,18,49,19,1,98,2,1506
0,1,1,2,2,2,4,2,123,3,53,3,1,21,34,7,1,106,2,2534
1,0,3,1,1,0,2,1,144,0,695,2,3,4,22,19,2,0,2,2005
3,0,0,0,2,0,5,2,191,1,1652,3,7,2,11,17,0,0,0,1537
2,0,1,2,3,0,2,2,284,2,8271,2,7,10,19,23,0,0,0,2943
0,0,0,1,0,1,4,2,124,1,1961,2,2,15,35,21,0,1961,0,1414
2,1,3,1,0,0,3,2,75,3,885,3,1,16,22,10,1,0,0,3147
0,1,3,0,2,2,4,1,236,0,93,3,5,4,2,4,0,186,0,1505
1,0,2,0,3,0,3,0,183,1,5415,1,3,6,36,11,0,0,0,2796
2,1,1,2,0,1,4,1,133,1,390,1,6,5,31,2,1,390,0,2321
2,0,1,2,2,2,4,0,250,0,64,3,1,19,11,14,0,128,0,1396
1,0,0,1,0,1,4,2,162,2,30,3,1,2,20,17,1,30,0,1284
1,1,2,2,1,0,1,2,115,0,1776,1,2,1,33,14,0,0,0,2238
1,0,0,3,0,1,4,2,80,3,815,2,6,17,26,20,1,815,0,3218
2,1,1,2,0,0,5,0,242,0,217,2,6,21,47,17,2,0,0,3142
1,1,0,2,0,0,0,1,144,2,9469,1,3,22,49,3,2,0,0,5462
0,0,2,2,0,2,4,2,188,3,77,1,5,17,5,10,1,154,0,2357
0,0,2,2,2,1,4,0,213,3,1669,1,7,6,32,4,0,1669,0,2465
0,1,3,3,3,2,4,1,251,3,94,2,3,24,41,2,1,188,3,2881
3,1,0,2,1,1,4,0,157,0,847,0,5,2,50,18,1,847,1,2432
1,0,3,0,0,0,1,2,65,3,6811,1,1,13,45,2,1,0,0,2725
1,0,0,0,1,0,2,1,225,3,779,0,7,2,24,9,1,0,1,3464
2,1,0,3,2,2,4,1,164,3,85,2,7,17,31,4,1,170,2,3475
3,1,2,0,2,2,4,2,102,2,76,1,5,14,15,2,2,152,4,1279
3,1,2,1,3,0,5,2,131,3,1992,3,4,11,49,9,2,0,6,3265
2,1,1,1,2,2,4,2,170,3,15,3,4,20,8,7,1,30,2,2434
2,1,0,0,2,2,4,1,133,2,35,1,6,10,21,18,1,70,2,2142
3,0,1,3,0,2,4,2,189,2,1,3,1,13,43,24,2,2,0,1593
3,1,0,3,1,2,4,0,66,3,60,2,5,10,1,12,1,120,1,1850
0,0,1,2,2,2,4,0,164,3,69,2,7,11,3,18,2,138,4,2077
2,0,2,3,0,0,2,1,240,2,5914,0,5,5,7,18,0,0,0,2837
1,1,3,1,1,1,4,0,92,0,733,0,1,7,3,2,2,733,2,1279
0,0,2,0,3,2,4,2,203,0,47,2,5,6,19,19,0,94,0,1586
3,0,2,3,2,1,4,2,112,2,605,1,4,19,49,11,2,605,4,1609
2,0,3,2,0,1,4,0,118,3,614,2,4,22,13,17,0,614,0,2552
1,0,2,0,1,2,4,2,243,0,49,0,5,6,13,16,1,98,1,1778
2,1,3,0,2,1,4,2,241,2,1669,2,6,11,31,9,1,1669,2,1991
2,1,3,3,1,2,4,2,106,2,40,0,6,20,29,5,2,80,2,1687
0,1,3,3,1,1,4,0,177,2,378,3,1,22,6,10,1,378,1,586
1,0,0,3,2,2,4,2,146,2,66,3,3,7,29,0,0,132,0,1403
2,1,3,1,1,2,4,0,70,2,48,3,4,19,40,14,0,96,0,1263
2,0,3,0,2,0,5,1,171,2,6066,2,5,1,9,23,2,0,4,3685
1,1,3,2,3,0,3,0,169,0,5869,2,3,3,3,1,1,0,3,3537
2,1,2,1,1,1,4,1,221,0,586,1,6,21,44,22,1,586,1,2826
0,0,1,2,3,0,3,0,296,3,8886,3,3,24,37,4,0,0,0,4545
1,0,3,2,2,2,4,2,179,0,73,0,7,22,45,3,2,146,4,2998
3,1,1,1,2,1,4,0,166,1,1416,1,4,17,29,4,0,1416,0,1423
3,0,0,2,1,0,1,0,72,0,574,2,3,4,1,11,2,0,2,1000
0,1,0,3,0,2,4,1,182,1,23,1,6,13,20,16,0,46,0,1968
0,0,3,1,1,1,4,2,107,1,1256,2,6,5,23,1,1,1256,1,759
3,1,1,1,2,2,4,0,158,0,24,3,5,2,49,11,0,48,0,1955
3,0,1,2,1,0,1,2,244,0,6393,3,6,15,50,6,1,0,1,1543
2,0,3,1,2,2,4,2,299,2,91,1,4,10,23,23,1,182,2,1888
0,0,3,0,0,2,4,0,282,1,65,1,3,8,36,3,0,130,0,1382
2,1,0,3,2,2,4,2,118,1,57,3,3,14,45,13,2,114,4,1476
1,1,2,2,1,1,4,2,240,1,1077,3,2,4,41,3,2,1077,2,1083
3,1,3,1,1,2,4,0,217,3,88,2,1,3,28,15,0,176,0,2098
3,1,2,2,3,2,4,0,274,3,26,3,3,20,49,2,2,52,6,2375
2,1,3,3,1,2,4,2,100,3,4,2,7,14,31,8,1,8,1,3153
3,1,0,1,0,0,5,0,107,2,599,3,3,23,14,9,0,0,0,1534
1,0,3,2,2,1,4,0,263,2,1560,0,5,10,34,6,0,1560,0,2230
3,0,3,0,1,0,0,0,188,2,8667,3,4,24,38,16,2,0,2,2890
3,1,0,2,2,2,4,1,280,0,44,2,5,20,35,12,2,88,4,2348
0,0,2,1,1,2,4,2,59,3,50,1,1,16,12,18,0,100,0,1511
2,1,2,2,3,1,4,1,152,3,1155,3,1,0,42,13,0,1155,0,2937
1,1,0,3,2,1,4,0,241,0,1927,2,5,15,18,15,1,1927,2,2464
1,1,3,0,2,1,4,2,215,0,1225,0,2,19,5,12,0,1225,0,2183
0,0,2,3,0,2,4,2,88,3,97,2,6,4,11,24,0,194,0,2259
0,1,0,3,0,1,4,0,90,3,774,3,5,13,7,17,1,774,0,2269
0,1,0,2,1,0,0,0,170,2,7684,0,5,24,30,19,2,0,2,3747
0,1,1,3,1,2,4,0,113,0,30,1,7,18,43,19,2,60,2,2167
2,1,0,3,3,2,4,1,200,2,27,0,3,4,23,19,2,54,6,1829
2,1,3,0,2,0,5,0,81,0,5781,0,6,12,30,20,2,0,4,4933
